epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.5234,1.00144,1.21685,2.32964,0.96905,0,0.01263,0.17481,0.04338,0.01776,0.00556,0.03704,0.02119,0.00974,1.69311,100.032,4.24829,1.52298,0,0.0018,0.0018,0.0838
2,4.58848,1.08624,1.14117,1.46383,1.00247,0,0.00016,0.03704,4e-05,1e-05,0.34051,0.02381,0.00357,0.00062,3.36487,64.038,6.18676,12.7185,0,0.0036991,0.0036991,0.0666991
3,6.63896,1.11522,1.09307,1.26283,0.99884,0,0.00016,0.03704,2e-05,1e-05,0,0,0,0,3.53161,1776.3,9372.37,13.1003,0,0.00559453,0.00559453,0.0495945
4,8.74969,1.11469,1.01035,1.19191,1.01501,0,7e-05,0.05128,4e-05,0,0,0,0,0,3.96941,10.6259,1046.55,5.2449,0,0.00748352,0.00748352,0.0324835
5,10.7317,1.12599,1.00535,1.19889,1.02237,0,0.33661,0.05556,0.00093,0.00031,0.33661,0.05556,0.00068,0.0003,3.77918,35.7029,44.6937,5.45626,0,0.00936331,0.00936331,0.0153633
6,13.5447,1.10597,1.02712,1.06952,1.00451,0,0.00013,0.07407,4e-05,1e-05,0,0,0,0,3.45639,120.026,851.901,3.78693,0,0.00993906,0.00993906,0.00993906
7,16.6688,1.0349,0.98517,1.01428,0.98748,0,0.00143,0.13757,0.00097,0.00022,0.00022,0.06614,8e-05,2e-05,3.90323,123.713,14.7374,3.23101,0,0.00991232,0.00991232,0.00991232
8,18.9198,0.99697,0.96845,0.92114,0.98227,0,0.9553,0.03704,0.0389,0.0228,0.9553,0.03704,0.0389,0.02431,2.99351,15.9716,6.85988,4.619,0,0.00988079,0.00988079,0.00988079
9,20.7178,0.9639,0.90991,0.92443,0.96515,0,0.27989,0.25783,0.25797,0.11537,0.30346,0.23932,0.28089,0.14896,2.20064,3.54508,3.95162,1.98018,0,0.00984449,0.00984449,0.00984449
10,22.556,0.91409,0.92547,0.86442,0.96649,0,0.69569,0.75776,0.75648,0.46894,0.69569,0.75776,0.76026,0.51118,0.99433,1.34756,1.03252,0.9515,0,0.00980345,0.00980345,0.00980345
