epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.36613,2.39782,2.9517,1.05174,0.33333,0.07246,0.07167,0.01877,2.87464,4.24284,1.38586,0.0012,0.0012,0.0892
2,2.40019,2.46602,1.6648,1.08478,0.1875,0.30314,0.17587,0.05182,2.65062,3.88043,1.31608,0.00249939,0.00249939,0.0774994
3,3.4446,2.40087,1.40724,1.07769,0,0,0,0,5.02154,1027.54,10.093,0.00379629,0.00379629,0.0657963
4,4.41592,2.4171,1.36942,1.03907,0,0,0,0,5.30832,9214.21,5.93105,0.0050888,0.0050888,0.0540888
5,5.38934,2.38179,1.38995,1.06725,0,0,0,0,6.47622,95500.7,22.9533,0.00637502,0.00637502,0.042375
6,6.38538,2.35569,1.41065,1.04702,0,0,0,0,6.19343,700311,12.8715,0.00765307,0.00765307,0.0306531
7,7.33749,2.29561,1.35378,1.03963,0,0,0,0,6.29821,89635,21.0091,0.00892109,0.00892109,0.0189211
8,8.53997,2.27501,1.29319,1.02685,0,0,0,0,6.02725,55953.5,15.8291,0.00988079,0.00988079,0.00988079
9,9.51687,2.21173,1.20842,1.06355,0,0,0,0,5.98233,23180.9,9.62963,0.00984449,0.00984449,0.00984449
10,10.5002,2.23958,1.26647,1.05305,5e-05,0.01449,1e-05,1e-05,5.45837,7379.21,5.01186,0.00980345,0.00980345,0.00980345
11,11.4156,2.30149,1.22708,1.05984,0.00018,0.01449,2e-05,1e-05,5.28186,1513.22,4.25039,0.00975773,0.00975773,0.00975773
12,12.2839,2.2769,1.23699,1.02763,0,0,0,0,5.80239,394.987,6.33042,0.00970736,0.00970736,0.00970736
13,13.1242,2.27512,1.19023,1.01886,0.00079,0.01449,9e-05,6e-05,4.46798,102.938,3.1562,0.00965239,0.00965239,0.00965239
14,13.9962,2.20205,1.15116,1.045,0.40635,0.0657,0.00725,0.00289,4.74544,148.967,3.35607,0.00959289,0.00959289,0.00959289
15,14.7843,2.20883,1.15257,1.03324,0.44118,0.04287,0.01631,0.00313,4.43679,6.41738,2.222,0.00952889,0.00952889,0.00952889
