epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.21989,1.80389,2.64421,1.32989,0.09721,0.44791,0.26211,0.12128,2.03514,3.87216,1.88663,0.0016,0.0016,0.0856
2,3.33363,1.73707,1.65702,1.41416,0.34897,0.0303,0.00884,0.00316,2.91519,16.394,3.47585,0.00329919,0.00329919,0.0702992
3,5.19423,1.73318,1.38937,1.38161,0.00065,0.21212,0.00072,0.00023,4.22424,2703.69,12.601,0.00499512,0.00499512,0.0549951
4,7.39114,1.75347,1.27937,1.39549,0.33475,0.01515,0.00108,0.00022,3.74452,796.085,5.74841,0.00668528,0.00668528,0.0396853
5,9.0817,1.65471,1.26584,1.38498,0.0111,0.22103,0.00206,0.00024,3.00784,302.788,3.75269,0.00836721,0.00836721,0.0243672
6,10.2751,1.75096,1.35353,1.43751,0.00056,0.0098,0.00011,1e-05,3.9082,69.297,6.00475,0.00993906,0.00993906,0.00993906
7,11.3218,1.70472,1.27782,1.41077,0.76175,0.01961,0.01949,0.00438,3.59552,6.30292,4.54385,0.00991232,0.00991232,0.00991232
8,12.2999,1.69368,1.15514,1.36969,0.4019,0.06061,0.03845,0.01202,3.25338,4.86102,3.20993,0.00988079,0.00988079,0.00988079
9,13.3092,1.71294,1.18467,1.39717,0.00103,0.08358,0.00053,0.00014,2.97004,10.425,2.65451,0.00984449,0.00984449,0.00984449
10,14.4527,1.70355,1.18664,1.38253,0.73685,0.20945,0.2292,0.07143,2.6694,3.78103,2.35336,0.00980345,0.00980345,0.00980345
11,15.4615,1.64231,1.14921,1.36073,0.50259,0.7343,0.69309,0.29099,1.88174,1.66614,1.66747,0.00975773,0.00975773,0.00975773
12,16.3937,1.65789,1.09517,1.35492,0.50735,0.09091,0.14321,0.04166,2.87873,6.75181,2.74556,0.00970736,0.00970736,0.00970736
13,17.2873,1.62045,1.01976,1.32851,0.12557,0.34215,0.123,0.0356,2.47488,3.42579,2.29449,0.00965239,0.00965239,0.00965239
14,18.3155,1.58125,1.05175,1.32483,0.5837,0.75851,0.60566,0.2659,2.06718,5.4487,1.69857,0.00959289,0.00959289,0.00959289
15,19.2794,1.63193,1.00755,1.36422,0.49614,0.59943,0.46627,0.23019,1.93858,2.29587,1.62897,0.00952889,0.00952889,0.00952889
16,20.3221,1.55229,1.01045,1.32302,0.60629,0.54173,0.57394,0.25116,2.27863,3.68218,1.91102,0.00946048,0.00946048,0.00946048
17,21.3184,1.56949,0.97289,1.35871,0.752,0.42413,0.59475,0.24041,2.08879,1.87213,1.81035,0.00938772,0.00938772,0.00938772
18,22.3759,1.58913,0.96353,1.29836,0.91242,0.89301,0.94842,0.50427,1.55088,1.68097,1.34828,0.00931067,0.00931067,0.00931067
19,23.4626,1.50583,0.94701,1.29101,0.9384,0.88899,0.96464,0.48386,1.63844,1.17798,1.37089,0.00922942,0.00922942,0.00922942
20,24.46,1.57478,0.94952,1.31171,0.8827,0.96116,0.95436,0.46534,1.65096,0.91204,1.40912,0.00914405,0.00914405,0.00914405
21,25.4302,1.56709,0.90599,1.32013,0.56885,0.30475,0.44501,0.21415,2.2726,3.09926,1.90777,0.00905463,0.00905463,0.00905463
22,26.4989,1.54195,0.89804,1.29689,0.83935,0.88514,0.88286,0.44381,1.69108,1.14149,1.39212,0.00896127,0.00896127,0.00896127
23,27.7411,1.56054,0.91176,1.30617,0.79064,0.8672,0.89311,0.43062,1.74748,1.01006,1.42469,0.00886404,0.00886404,0.00886404
24,28.8333,1.49919,0.91759,1.28244,0.90664,0.90834,0.95628,0.47031,1.72089,0.93647,1.45278,0.00876305,0.00876305,0.00876305
25,29.927,1.47871,0.87566,1.26492,0.82625,0.70621,0.79542,0.37506,1.93939,1.3203,1.52238,0.00865839,0.00865839,0.00865839
26,30.9866,1.54467,0.85474,1.28673,0.75983,0.58211,0.64327,0.25174,2.43849,1.51398,2.06898,0.00855018,0.00855018,0.00855018
27,32.0122,1.54228,0.85764,1.29784,0.56717,0.5339,0.5545,0.2483,2.53805,2.68494,1.9988,0.00843851,0.00843851,0.00843851
28,32.9825,1.57197,0.84744,1.33026,0.8687,0.86015,0.87755,0.37877,2.06758,1.01102,1.80256,0.00832349,0.00832349,0.00832349
29,33.931,1.54644,0.86717,1.30168,0.84622,0.95298,0.94652,0.47937,1.64368,1.02728,1.35043,0.00820525,0.00820525,0.00820525
30,34.8923,1.47056,0.85069,1.28687,0.631,0.25305,0.2921,0.13013,2.58338,3.59579,1.99579,0.00808389,0.00808389,0.00808389
31,35.8696,1.47724,0.79856,1.25977,0.93577,0.9491,0.97308,0.50797,1.62838,0.78285,1.37075,0.00795954,0.00795954,0.00795954
32,36.8805,1.48388,0.81481,1.27662,0.96059,0.94328,0.98253,0.45903,1.67101,0.82762,1.38305,0.00783231,0.00783231,0.00783231
33,37.8529,1.47019,0.81526,1.261,0.9681,0.94112,0.97425,0.51915,1.53908,0.74975,1.32021,0.00770234,0.00770234,0.00770234
